,Country (2018),Transactions(down)/Commodity(right),Primary Coal and Peat,Coal and Peat Products,Primary Oil,Oil Products,Natural Gas,Biofuels and Waste,Nuclear,Electricity,Heat,Total Energy,memo: Of which Renewables,All Coal,All Oil,All Inputs
143,Vanuatu,Textile and leather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Vanuatu,Construction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Vanuatu,Industry n.e.s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,87.0,0.0,0.0,0.0,0.0
146,Vanuatu,Transport,0.0,0.0,0.0,1721.0,0.0,0.0,0.0,0.0,0.0,1721.0,0.0,0.0,1721.0,1721.0
147,Vanuatu,Road,0.0,0.0,0.0,1562.0,0.0,0.0,0.0,0.0,0.0,1562.0,0.0,0.0,1562.0,1562.0
148,Vanuatu,Rail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Vanuatu,Domestic aviation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Vanuatu,Domestic navigation,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,158.0,158.0
151,Vanuatu,Pipeline transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Vanuatu,Transport n.e.s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Vanuatu,Other Consumption,0.0,0.0,0.0,62.0,0.0,815.0,0.0,166.0,0.0,1043.0,815.0,0.0,62.0,877.0
154,Vanuatu,Agriculture  forestry and fishing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Vanuatu,Commerce and public services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,83.0,0.0,0.0,0.0,0.0
156,Vanuatu,Households,0.0,0.0,0.0,62.0,0.0,815.0,0.0,80.0,0.0,957.0,815.0,0.0,62.0,877.0
157,Vanuatu,Other consumption n.e.s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
158,Vanuatu,Non-energy use,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,88.0,88.0
159,Palau,Primary production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
160,Palau,Imports,0.0,0.0,0.0,3537.0,0.0,0.0,0.0,0.0,0.0,3537.0,0.0,0.0,3537.0,3537.0
161,Palau,Exports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Palau,International marine bunkers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Palau,International aviation bunkers,0.0,0.0,0.0,-573.0,0.0,0.0,0.0,0.0,0.0,-573.0,0.0,0.0,-573.0,-573.0
164,Palau,Stock changes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Palau,Total energy supply,0.0,0.0,0.0,2963.0,0.0,0.0,0.0,1.0,0.0,2965.0,1.0,0.0,2963.0,2963.0
